,Year ending March,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Subgroup,Incidents Recorded,Offence Subgroup Code,Offence Subgroup Name,Crime Severity,Severity Total Score
5773,2018,3084,HEIDELBERG,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
5801,2018,3084,HEIDELBERG,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,3,D24,Offensive language,3,9
5802,2018,3084,HEIDELBERG,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
5803,2018,3084,HEIDELBERG,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,15,D22,Drunk and disorderly in public,4,60
5804,2018,3084,HEIDELBERG,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
5815,2018,3084,ROSANNA,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,3,A232,Non-FV Common assault,10,30
5817,2018,3084,ROSANNA,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,5,A212,Non-FV Serious assault,10,50
5822,2018,3084,ROSANNA,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,3,A732,Non-FV Threatening behaviour,7,21
5824,2018,3084,ROSANNA,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,A712,Non-FV Stalking,10,10
5825,2018,3084,ROSANNA,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
5843,2018,3084,ROSANNA,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,1,D24,Offensive language,3,3
5844,2018,3084,ROSANNA,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,5,D22,Drunk and disorderly in public,4,20
5845,2018,3084,ROSANNA,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,2,D35,Improper movement on public or private space,4,8
5850,2018,3084,VIEWBANK,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
5854,2018,3084,VIEWBANK,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
5856,2018,3084,VIEWBANK,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,A712,Non-FV Stalking,10,10
5858,2018,3084,VIEWBANK,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,A83,Throw or discharge object endangering people,7,7
5884,2018,3085,MACLEOD,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,4,A232,Non-FV Common assault,10,40
5886,2018,3085,MACLEOD,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,4,A212,Non-FV Serious assault,10,40
5890,2018,3085,MACLEOD,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,3,A732,Non-FV Threatening behaviour,7,21
5892,2018,3085,MACLEOD,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,1,A722,Non-FV Harassment and private nuisance,8,8
5895,2018,3085,MACLEOD,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,4,A89,Other dangerous or negligent acts endangering people,7,28
5896,2018,3085,MACLEOD,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,A83,Throw or discharge object endangering people,7,7
5915,2018,3085,MACLEOD,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,3,D22,Drunk and disorderly in public,4,12
5916,2018,3085,MACLEOD,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,1,D36,Other public nuisance offences,7,7
5917,2018,3085,MACLEOD,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
5926,2018,3085,YALLAMBIE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,A83,Throw or discharge object endangering people,7,7
5927,2018,3085,YALLAMBIE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
5941,2018,3085,YALLAMBIE,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
5944,2018,3087,WATSONIA,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,6,A232,Non-FV Common assault,10,60
5946,2018,3087,WATSONIA,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,3,A212,Non-FV Serious assault,10,30
5949,2018,3087,WATSONIA,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,2,A732,Non-FV Threatening behaviour,7,14
5953,2018,3087,WATSONIA,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,2,A89,Other dangerous or negligent acts endangering people,7,14
5954,2018,3087,WATSONIA,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,2,A83,Throw or discharge object endangering people,7,14
5977,2018,3087,WATSONIA,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,3,D23,Offensive conduct,5,15
5978,2018,3087,WATSONIA,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,2,D22,Drunk and disorderly in public,4,8
5979,2018,3087,WATSONIA,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
6002,2018,3087,WATSONIA NORTH,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
6008,2018,3088,BRIAR HILL,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,2,A212,Non-FV Serious assault,10,20
6022,2018,3088,BRIAR HILL,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,D13,Explosives offences,6,6
6023,2018,3088,BRIAR HILL,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
6028,2018,3088,GREENSBOROUGH,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,17,A232,Non-FV Common assault,10,170
6030,2018,3088,GREENSBOROUGH,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,10,A212,Non-FV Serious assault,10,100
6035,2018,3088,GREENSBOROUGH,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,5,A732,Non-FV Threatening behaviour,7,35
6039,2018,3088,GREENSBOROUGH,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,7,A89,Other dangerous or negligent acts endangering people,7,49
6040,2018,3088,GREENSBOROUGH,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,2,A83,Throw or discharge object endangering people,7,14
6041,2018,3088,GREENSBOROUGH,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
6067,2018,3088,GREENSBOROUGH,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,2,D24,Offensive language,3,6
6068,2018,3088,GREENSBOROUGH,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,4,D23,Offensive conduct,5,20
6069,2018,3088,GREENSBOROUGH,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,8,D22,Drunk and disorderly in public,4,32
6070,2018,3088,GREENSBOROUGH,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,5,D35,Improper movement on public or private space,4,20
6080,2018,3088,ST HELENA,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,3,A232,Non-FV Common assault,10,30
6082,2018,3088,ST HELENA,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,1,A722,Non-FV Harassment and private nuisance,8,8
6083,2018,3088,ST HELENA,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,2,A712,Non-FV Stalking,10,20
6097,2018,3089,DIAMOND CREEK,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,13,A232,Non-FV Common assault,10,130
6099,2018,3089,DIAMOND CREEK,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,9,A212,Non-FV Serious assault,10,90
6102,2018,3089,DIAMOND CREEK,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,2,A732,Non-FV Threatening behaviour,7,14
6104,2018,3089,DIAMOND CREEK,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,2,A712,Non-FV Stalking,10,20
6105,2018,3089,DIAMOND CREEK,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,3,A89,Other dangerous or negligent acts endangering people,7,21
6106,2018,3089,DIAMOND CREEK,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,3,A83,Throw or discharge object endangering people,7,21
6131,2018,3089,DIAMOND CREEK,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
6132,2018,3089,DIAMOND CREEK,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
6133,2018,3089,DIAMOND CREEK,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,2,D35,Improper movement on public or private space,4,8
6138,2018,3090,PLENTY,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,3,A232,Non-FV Common assault,10,30
6139,2018,3090,PLENTY,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
6141,2018,3090,PLENTY,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,1,A722,Non-FV Harassment and private nuisance,8,8
6142,2018,3090,PLENTY,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,3,A712,Non-FV Stalking,10,30
6143,2018,3090,PLENTY,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
6159,2018,3090,PLENTY,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
6160,2018,3090,PLENTY,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1,D22,Drunk and disorderly in public,4,4
6161,2018,3090,PLENTY,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
6166,2018,3091,YARRAMBAT,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
6167,2018,3091,YARRAMBAT,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,A712,Non-FV Stalking,10,10
6168,2018,3091,YARRAMBAT,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,A83,Throw or discharge object endangering people,7,7
6180,2018,3093,LOWER PLENTY,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,3,A212,Non-FV Serious assault,10,30
6183,2018,3093,LOWER PLENTY,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,1,A722,Non-FV Harassment and private nuisance,8,8
6199,2018,3093,LOWER PLENTY,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,2,D23,Offensive conduct,5,10
6200,2018,3093,LOWER PLENTY,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
6205,2018,3094,MONTMORENCY,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,3,A232,Non-FV Common assault,10,30
